STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,01/01/2024,11.2,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,02/01/2024,13.5,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,03/01/2024,0.9,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,04/01/2024,0.7,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,05/01/2024,0.7,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,06/01/2024,0.2,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,07/01/2024,0,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,08/01/2024,0.5,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,09/01/2024,0.1,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,10/01/2024,0.2,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,11/01/2024,0,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,12/01/2024,0,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,13/01/2024,0.3,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,14/01/2024,0,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,15/01/2024,0,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,16/01/2024,1.9,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,17/01/2024,0,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,18/01/2024,0.1,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,19/01/2024,3.7,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,20/01/2024,15.4,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,21/01/2024,31,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,22/01/2024,1.2,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,23/01/2024,20.2,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,24/01/2024,0.1,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,25/01/2024,6.9,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,26/01/2024,0.6,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,27/01/2024,0,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,28/01/2024,5,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,29/01/2024,23.1,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,30/01/2024,0,",,E",,,,,,,,
UKE00105860,"NEWTON RIGG, UK",54.67,-2.7858,169,31/01/2024,12,",,E",,,,,,,,
UKE00107962,"YEOVILTON, UK",51.0058,-2.64,20,01/01/2024,11.8,",,E",,,,,14.1,",,E",6.4,",,E"
UKE00107962,"YEOVILTON, UK",51.0058,-2.64,20,02/01/2024,2.6,",,E",,,,,10.9,",,E",6.5,",,E"
UKE00107962,"YEOVILTON, UK",51.0058,-2.64,20,03/01/2024,3.6,",,E",,,,,7.9,",I,E",8.5,",I,E"
UKE00107962,"YEOVILTON, UK",51.0058,-2.64,20,04/01/2024,22.2,",,E",,,,,9,",,E",3.8,",,E"
UKE00107962,"YEOVILTON, UK",51.0058,-2.64,20,05/01/2024,0,",,E",,,,,8,",,E",2.8,",,E"
UKE00107962,"YEOVILTON, UK",51.0058,-2.64,20,06/01/2024,0,",,E",,,,,5.4,",,E",0.9,",,E"
